
== attempt 1784488607.786140 ==
$ /venv/main/bin/python scripts/train.py --config configs/publishable.yaml --run-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/run --data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/data --validation-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/posterior_validation --detection-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/detector_bls_train --detection-validation-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/detector_bls_validation --expect-device cuda --no-preflight --seed 0 --noise-lib /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/noise_splits/noise_validation.npz
device=cuda  params=4,176,422  head=fmpe  run_dir=/workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/run
step      0/60000 | total 3.1166 | post 2.4059 | det 0.7107 | 0 lc/s | wait 0% | eta 16666666h40m00s
step    100/60000 | total 2.2750 | post 1.8070 | det 0.4680 | 2377 lc/s | wait 6% | eta 1h47m31s
step    200/60000 | total 1.8187 | post 1.4903 | det 0.3283 | 2191 lc/s | wait 5% | eta 1h56m27s
step    300/60000 | total 1.9110 | post 1.6055 | det 0.3054 | 2266 lc/s | wait 5% | eta 1h52m25s
step    400/60000 | total 1.7074 | post 1.3906 | det 0.3169 | 2283 lc/s | wait 5% | eta 1h51m23s
step    500/60000 | total 1.6466 | post 1.3564 | det 0.2902 | 2276 lc/s | wait 5% | eta 1h51m32s
step    600/60000 | total 1.3894 | post 1.1224 | det 0.2670 | 2291 lc/s | wait 5% | eta 1h50m36s
step    700/60000 | total 1.5811 | post 1.2055 | det 0.3756 | 2297 lc/s | wait 5% | eta 1h50m10s
step    800/60000 | total 1.6001 | post 1.3481 | det 0.2520 | 2304 lc/s | wait 6% | eta 1h49m36s
step    900/60000 | total 1.5552 | post 1.2848 | det 0.2704 | 2295 lc/s | wait 6% | eta 1h49m53s
step   1000/60000 | total 1.2822 | post 1.0534 | det 0.2288 | 2226 lc/s | wait 5% | eta 1h53m04s
step   1100/60000 | total 1.3398 | post 0.9851 | det 0.3547 | 2279 lc/s | wait 5% | eta 1h50m16s
step   1200/60000 | total 1.2449 | post 1.0167 | det 0.2282 | 2280 lc/s | wait 5% | eta 1h50m01s
step   1300/60000 | total 1.3667 | post 1.1356 | det 0.2311 | 2276 lc/s | wait 5% | eta 1h50m01s
step   1400/60000 | total 1.2544 | post 0.9744 | det 0.2800 | 2277 lc/s | wait 5% | eta 1h49m49s
step   1500/60000 | total 1.2311 | post 0.9902 | det 0.2408 | 2166 lc/s | wait 5% | eta 1h55m13s
step   1600/60000 | total 1.4032 | post 1.1271 | det 0.2761 | 2260 lc/s | wait 5% | eta 1h50m14s
step   1700/60000 | total 1.4041 | post 1.1639 | det 0.2401 | 2252 lc/s | wait 5% | eta 1h50m27s
step   1800/60000 | total 1.4516 | post 1.2158 | det 0.2357 | 2256 lc/s | wait 5% | eta 1h50m03s
step   1900/60000 | total 1.1150 | post 0.8903 | det 0.2247 | 2231 lc/s | wait 5% | eta 1h51m06s
  [val] post 1.1257 det 0.2843 acc 0.845 auc 0.941
step   2000/60000 | total 1.1452 | post 0.8940 | det 0.2512 | 1696 lc/s | wait 4% | eta 2h25m56s
step   2100/60000 | total 1.4343 | post 1.1698 | det 0.2646 | 2243 lc/s | wait 5% | eta 1h50m08s
step   2200/60000 | total 1.3017 | post 1.1052 | det 0.1965 | 2246 lc/s | wait 5% | eta 1h49m47s
step   2300/60000 | total 1.0941 | post 0.8622 | det 0.2319 | 2234 lc/s | wait 5% | eta 1h50m11s
step   2400/60000 | total 1.3148 | post 1.0766 | det 0.2382 | 2152 lc/s | wait 5% | eta 1h54m11s
step   2500/60000 | total 1.3046 | post 1.0711 | det 0.2334 | 2232 lc/s | wait 5% | eta 1h49m55s
