$ /venv/main/bin/python scripts/train.py --config configs/publishable.yaml --run-dir /dev/shm/tf_full_03cca0a_cpu23_20260703_072020_run --data-dir /dev/shm/tf_full_03cca0a_cpu23_20260703_072020_data --expect-device cuda --no-preflight
device=cuda  params=4,176,422  head=fmpe  run_dir=/dev/shm/tf_full_03cca0a_cpu23_20260703_072020_run
step      0/60000 | total 2.9058 | post 2.2097 | det 0.6961 | 0 lc/s | wait 0% | eta 16666666h40m00s
step    100/60000 | total 2.0591 | post 1.6855 | det 0.3736 | 5582 lc/s | wait 5% | eta 45m47s
step    200/60000 | total 1.5242 | post 1.3580 | det 0.1662 | 5781 lc/s | wait 6% | eta 44m08s
step    300/60000 | total 1.4463 | post 1.2696 | det 0.1767 | 5688 lc/s | wait 5% | eta 44m47s
step    400/60000 | total 1.2406 | post 1.1077 | det 0.1329 | 5707 lc/s | wait 5% | eta 44m33s
step    500/60000 | total 1.1402 | post 0.9887 | det 0.1515 | 5589 lc/s | wait 5% | eta 45m25s
step    600/60000 | total 1.0903 | post 0.9956 | det 0.0947 | 5690 lc/s | wait 5% | eta 44m32s
step    700/60000 | total 1.0302 | post 0.9367 | det 0.0935 | 5552 lc/s | wait 5% | eta 45m34s
step    800/60000 | total 1.0709 | post 0.9251 | det 0.1459 | 5592 lc/s | wait 5% | eta 45m09s
step    900/60000 | total 0.9333 | post 0.8425 | det 0.0908 | 5640 lc/s | wait 5% | eta 44m42s
step   1000/60000 | total 0.9325 | post 0.8642 | det 0.0683 | 5643 lc/s | wait 5% | eta 44m36s
step   1100/60000 | total 0.9884 | post 0.9087 | det 0.0798 | 5604 lc/s | wait 5% | eta 44m50s
step   1200/60000 | total 1.0035 | post 0.9214 | det 0.0821 | 5490 lc/s | wait 5% | eta 45m41s
step   1300/60000 | total 0.9644 | post 0.8764 | det 0.0880 | 5706 lc/s | wait 5% | eta 43m53s
step   1400/60000 | total 0.9079 | post 0.8538 | det 0.0541 | 5612 lc/s | wait 5% | eta 44m33s
step   1500/60000 | total 0.9668 | post 0.9160 | det 0.0508 | 5495 lc/s | wait 5% | eta 45m25s
step   1600/60000 | total 0.8066 | post 0.7217 | det 0.0849 | 5626 lc/s | wait 5% | eta 44m17s
step   1700/60000 | total 0.8674 | post 0.8206 | det 0.0467 | 5629 lc/s | wait 5% | eta 44m11s
step   1800/60000 | total 0.7974 | post 0.7571 | det 0.0403 | 5521 lc/s | wait 5% | eta 44m58s
step   1900/60000 | total 1.0464 | post 0.9670 | det 0.0794 | 5648 lc/s | wait 5% | eta 43m53s
  [val] post 0.8991 det 0.0956 acc 0.959 auc 0.995
step   2000/60000 | total 0.8851 | post 0.7708 | det 0.1143 | 280 lc/s | wait 0% | eta 14h42m48s
step   2100/60000 | total 0.7757 | post 0.7424 | det 0.0333 | 5687 lc/s | wait 5% | eta 43m26s
step   2200/60000 | total 0.8524 | post 0.7674 | det 0.0850 | 5713 lc/s | wait 5% | eta 43m10s
step   2300/60000 | total 0.7970 | post 0.7450 | det 0.0520 | 5738 lc/s | wait 6% | eta 42m54s
step   2400/60000 | total 0.9087 | post 0.8690 | det 0.0397 | 5691 lc/s | wait 5% | eta 43m10s
step   2500/60000 | total 0.8663 | post 0.7824 | det 0.0839 | 5761 lc/s | wait 5% | eta 42m35s
step   2600/60000 | total 0.9481 | post 0.8948 | det 0.0533 | 5679 lc/s | wait 5% | eta 43m07s
step   2700/60000 | total 0.8485 | post 0.7854 | det 0.0630 | 5800 lc/s | wait 5% | eta 42m09s
step   2800/60000 | total 0.8863 | post 0.8142 | det 0.0721 | 5689 lc/s | wait 5% | eta 42m54s
step   2900/60000 | total 0.9181 | post 0.8263 | det 0.0918 | 5743 lc/s | wait 5% | eta 42m25s
step   3000/60000 | total 0.9611 | post 0.8831 | det 0.0780 | 5637 lc/s | wait 5% | eta 43m08s
step   3100/60000 | total 0.8905 | post 0.8337 | det 0.0568 | 5662 lc/s | wait 5% | eta 42m52s
step   3200/60000 | total 0.8807 | post 0.8104 | det 0.0703 | 5605 lc/s | wait 5% | eta 43m14s
step   3300/60000 | total 0.7798 | post 0.7578 | det 0.0220 | 5659 lc/s | wait 5% | eta 42m45s
step   3400/60000 | total 0.7494 | post 0.7139 | det 0.0355 | 5612 lc/s | wait 5% | eta 43m01s
step   3500/60000 | total 0.8384 | post 0.7335 | det 0.1049 | 5609 lc/s | wait 5% | eta 42m58s
step   3600/60000 | total 0.7218 | post 0.6644 | det 0.0574 | 5657 lc/s | wait 5% | eta 42m32s
step   3700/60000 | total 0.8313 | post 0.7728 | det 0.0585 | 5624 lc/s | wait 5% | eta 42m42s
step   3800/60000 | total 0.8650 | post 0.7650 | det 0.0999 | 5616 lc/s | wait 5% | eta 42m41s
step   3900/60000 | total 0.7047 | post 0.6595 | det 0.0452 | 5704 lc/s | wait 5% | eta 41m57s
  [val] post 0.8058 det 0.1059 acc 0.956 auc 0.994
step   4000/60000 | total 0.7659 | post 0.6855 | det 0.0804 | 301 lc/s | wait 0% | eta 13h14m27s
step   4100/60000 | total 0.8395 | post 0.8010 | det 0.0385 | 5468 lc/s | wait 5% | eta 43m37s
step   4200/60000 | total 0.8938 | post 0.8449 | det 0.0489 | 5497 lc/s | wait 5% | eta 43m18s
step   4300/60000 | total 0.8144 | post 0.7661 | det 0.0483 | 5841 lc/s | wait 5% | eta 40m41s
step   4400/60000 | total 0.9014 | post 0.8403 | det 0.0611 | 5639 lc/s | wait 5% | eta 42m04s
step   4500/60000 | total 0.8211 | post 0.7781 | det 0.0430 | 5768 lc/s | wait 5% | eta 41m03s
step   4600/60000 | total 0.8288 | post 0.7808 | det 0.0480 | 5791 lc/s | wait 5% | eta 40m49s
step   4700/60000 | total 0.7313 | post 0.6788 | det 0.0524 | 5630 lc/s | wait 5% | eta 41m54s
